osm_ref,name,kind,municipality,province,latitude,longitude,alternative_names
node/262709017,Magabeni,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-30.171667,30.765556,
node/262709051,Magudu,suburb,uPhongolo Local Municipality,KwaZulu-Natal,-27.532222,31.651111,
node/262709061,Mahlabatini,suburb,Ulundi Local Municipality,KwaZulu-Natal,-28.234167,31.470278,
node/2207841017,Mahunu,village,uMhlathuze Local Municipality,KwaZulu-Natal,-28.915889,31.859523,
node/262709083,Maidstone,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.545278,31.135000,
node/3372977885,Majuba Outpost,village,uPhongolo Local Municipality,KwaZulu-Natal,-27.550859,31.838397,
node/262709196,Makhosini,village,Ulundi Local Municipality,KwaZulu-Natal,-28.383242,31.274103,
node/262709320,Malukazi,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.991389,30.892222,
node/3488243604,Malvern,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.884093,30.926378,
node/262709347,Mandini,suburb,Mandeni Local Municipality,KwaZulu-Natal,-29.152912,31.410307,
node/262709350,Mandlankala,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.835278,31.943333,
node/2061615008,Manguzi,town,uMhlabuyalingana Local Municipality,KwaZulu-Natal,-26.988287,32.756033,
node/2207841031,Mankwathini,suburb,uMfolozi Local Municipality,KwaZulu-Natal,-28.651956,32.198291,
node/262709360,Manor,suburb,Msunduzi Local Municipality,KwaZulu-Natal,-29.599444,30.395278,
node/262709361,Manors,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.804444,30.863889,
node/2225392840,Mantuma Camp,village,Jozini Local Municipality,KwaZulu-Natal,-27.596842,32.219886,
node/1348502196,Manzana,suburb,Newcastle Local Municipality,KwaZulu-Natal,-27.766142,30.155272,
node/2287860126,Maphelane,village,Mtubatuba Local Municipality,KwaZulu-Natal,-28.406626,32.422035,
node/262709393,Mapumulo,suburb,Maphumulo Local Municipality,KwaZulu-Natal,-29.157328,31.066645,
node/262709429,Marburg,suburb,Hibiscus Coast Local Municipality,KwaZulu-Natal,-30.740556,30.423056,
node/262721255,Margate,town,Hibiscus Coast Local Municipality,KwaZulu-Natal,-30.864167,30.368611,
node/262709458,Mariann,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.859444,30.827778,
node/262709462,Mariannhill,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.845278,30.824722,
node/262709466,Marina Beach,suburb,Hibiscus Coast Local Municipality,KwaZulu-Natal,-30.933889,30.301667,
node/262709480,Marmic,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.667778,31.041667,
node/1348502486,Martha,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-27.849125,30.151490,
node/3556360314,Masango Homestead,village,uPhongolo Local Municipality,KwaZulu-Natal,-27.551861,31.813813,
node/1348502410,Masondale,suburb,Newcastle Local Municipality,KwaZulu-Natal,-27.728583,30.095824,
node/2188221614,Matimatolo,village,Umvoti Local Municipality,KwaZulu-Natal,-29.130186,30.795641,
node/1347289309,Matiwane,suburb,Alfred Duma Local Municipality,KwaZulu-Natal,-28.361129,29.881395,
node/262709709,Matshana,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.746944,31.849722,
node/262721291,Mavulazi,village,Nongoma Local Municipality,KwaZulu-Natal,-28.008056,31.838333,
node/4279883585,Mawotana,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.662023,30.996877,
node/1348502381,Mbanane,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-27.870087,30.143674,
node/262709953,Mbango,suburb,Hibiscus Coast Local Municipality,KwaZulu-Natal,-30.756111,30.446389,
node/2207841038,Mbonambi,suburb,uMfolozi Local Municipality,KwaZulu-Natal,-28.591968,32.258369,
node/262710032,Meadows,suburb,Msunduzi Local Municipality,KwaZulu-Natal,-29.640833,30.417778,
node/262710036,Meer en See,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.778885,32.109500,
node/262710046,Melmoth,town,Mthonjaneni Local Municipality,KwaZulu-Natal,-28.586667,31.398056,
node/9325189773,Melmoth,town,Mthonjaneni Local Municipality,KwaZulu-Natal,-28.586628,31.398055,
node/262710056,Melville,suburb,KwaDukuza Local Municipality,KwaZulu-Natal,-29.377500,31.255000,
node/262710064,Melville,suburb,Hibiscus Coast Local Municipality,KwaZulu-Natal,-30.653333,30.521111,
node/262710068,Merebank,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.953056,30.964722,
node/262710070,Merewent,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.957586,30.977540,
node/262710073,Merrivale,suburb,uMgeni Local Municipality,KwaZulu-Natal,-29.513333,30.242778,
node/262710074,Merrivale Heights,suburb,uMgeni Local Municipality,KwaZulu-Natal,-29.528889,30.251389,
node/1348502359,Mfahlawane,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-27.829426,30.188326,
node/262710087,Mfume,suburb,Vulamehlo Local Municipality,KwaZulu-Natal,-30.120278,30.743056,
node/2083429449,Mhlangeni Bush Lodge,village,uPhongolo Local Municipality,KwaZulu-Natal,-27.523186,31.373092,
node/1558632775,Mid Illovo,suburb,Mkhambathini Local Municipality,KwaZulu-Natal,-29.965727,30.515764,
node/1348502290,Mieliebult,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-27.831240,30.171962,
node/262710147,Milford,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-27.950833,30.256944,
node/262710160,Mkhazane,suburb,Ulundi Local Municipality,KwaZulu-Natal,-28.312778,31.398889,
node/262710162,Mkobosa,suburb,uMhlathuze Local Municipality,KwaZulu-Natal,-28.866111,31.930278,
node/262710164,Mkondeni,suburb,Msunduzi Local Municipality,KwaZulu-Natal,-29.651111,30.419167,
node/262710165,Mkuze,village,Jozini Local Municipality,KwaZulu-Natal,-27.618602,32.032437,
node/1348502241,Mndozo,suburb,Newcastle Local Municipality,KwaZulu-Natal,-27.747991,30.186205,
node/262710229,Mobeni East,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.933333,30.973611,
node/262710233,Mobeni Heights,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.930833,30.941111,
node/262710238,Mobeni West,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.932863,30.964191,
node/262710242,Model Kloof,suburb,Alfred Duma Local Municipality,KwaZulu-Natal,-28.526944,29.807778,
node/1348502349,Moltloung,suburb,Dannhauser Local Municipality,KwaZulu-Natal,-27.899243,30.266115,
node/1348522704,Mondlo,suburb,Abaqulusi Local Municipality,KwaZulu-Natal,-27.958203,30.719688,
node/262710318,Montclair,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.919722,30.965278,
node/262710320,Monteseel,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.740556,30.680278,
node/262710321,Montford,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.923619,30.874285,
node/262710330,Montrose,suburb,Msunduzi Local Municipality,KwaZulu-Natal,-29.576111,30.346944,
node/11042426889,Monzi,village,Mtubatuba Local Municipality,KwaZulu-Natal,-28.439601,32.299590,
node/262710336,Mooirivier,town,Mpofana Local Municipality,KwaZulu-Natal,-29.207778,29.994722,
node/262710340,Moorton,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.904167,30.870000,
node/262710343,Mophela,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.816056,30.585199,
node/262712410,Morningside,suburb,eThekwini Metropolitan Municipality,KwaZulu-Natal,-29.818361,31.018077,
