osm_ref,name,kind,municipality,province,latitude,longitude,alternative_names
node/262720829,Kirstenhof,suburb,City of Cape Town,Western Cape,-34.071667,18.450556,
node/262720832,Klaassenbosch,suburb,City of Cape Town,Western Cape,-33.999167,18.431944,
node/262720841,Kleinvlei,suburb,City of Cape Town,Western Cape,-33.985833,18.714444,
node/262720843,Klipfontein,suburb,City of Cape Town,Western Cape,-34.002500,18.621667,
node/262720845,Klipheuwel,suburb,City of Cape Town,Western Cape,-33.717949,18.707962,
node/262720857,Koeberg,suburb,City of Cape Town,Western Cape,-33.677500,18.438889,
node/262720859,Kommetjie,suburb,City of Cape Town,Western Cape,-34.139865,18.326994,
node/262720866,Kraaifontein,town,City of Cape Town,Western Cape,-33.847778,18.716111,
node/13188368675,Kraaifontein East,suburb,City of Cape Town,Western Cape,-33.843093,18.739646,
node/262720890,Kuilsrivier,town,City of Cape Town,Western Cape,-33.926944,18.685556,Kuils River
node/6515180531,Kuyasa,suburb,City of Cape Town,Western Cape,-34.060300,18.688695,
node/262720927,La Rochelle,suburb,City of Cape Town,Western Cape,-33.880833,18.656389,
node/262720932,Labiance,suburb,City of Cape Town,Western Cape,-33.911944,18.659167,
node/260310453,Lagoon Beach,suburb,City of Cape Town,Western Cape,-33.892792,18.482375,
node/59765015,Lakeside,suburb,City of Cape Town,Western Cape,-34.087222,18.456944,
node/262720939,Land en Zeezicht,suburb,City of Cape Town,Western Cape,-34.073056,18.875000,
node/75711801,Langa,suburb,City of Cape Town,Western Cape,-33.945556,18.530000,
node/12752160482,Langeberg Ridge,suburb,City of Cape Town,Western Cape,-33.842153,18.691412,
node/6222857083,Langgewacht,neighbourhood,City of Cape Town,Western Cape,-34.100640,18.832548,
node/99206424,Lansdowne,suburb,City of Cape Town,Western Cape,-33.996341,18.506893,
node/262720947,Lavender Hill,suburb,City of Cape Town,Western Cape,-34.073611,18.483333,
node/262720960,Lentegeur,suburb,City of Cape Town,Western Cape,-34.031389,18.611944,
node/260380909,Llandudno,suburb,City of Cape Town,Western Cape,-34.008588,18.344232,
node/6222857086,Lochnerhof,neighbourhood,City of Cape Town,Western Cape,-34.106306,18.826737,Strandnoord
node/262721010,Loevenstein,suburb,City of Cape Town,Western Cape,-33.885556,18.606389,
node/262721014,Longdown Estate,suburb,City of Cape Town,Western Cape,-34.091674,18.855608,
node/6222710893,Longlands,neighbourhood,City of Cape Town,Western Cape,-34.102461,18.846784,
node/262721018,Lotus River,suburb,City of Cape Town,Western Cape,-34.043056,18.521389,
node/6205880411,Lourensia Park,neighbourhood,City of Cape Town,Western Cape,-34.091530,18.828800,
node/262721066,Lwandle,suburb,City of Cape Town,Western Cape,-34.122222,18.868889,
node/262721068,Lynn's View,suburb,City of Cape Town,Western Cape,-34.053333,18.821944,
node/262721070,Mabille Park,suburb,City of Cape Town,Western Cape,-33.918333,18.670833,
node/262721073,Macassar,suburb,City of Cape Town,Western Cape,-34.066116,18.767495,
node/6206166996,Macassar Village,neighbourhood,City of Cape Town,Western Cape,-34.052989,18.750735,
node/6206166994,Macassar Village Estate,neighbourhood,City of Cape Town,Western Cape,-34.056847,18.747978,
node/82547669,Maitland,suburb,City of Cape Town,Western Cape,-33.922500,18.493056,
node/52746697,Maitland Garden Village,suburb,City of Cape Town,Western Cape,-33.935278,18.488889,
node/262721150,Malibu Village,suburb,City of Cape Town,Western Cape,-33.995278,18.692222,
node/262721165,Mamre,village,City of Cape Town,Western Cape,-33.512985,18.475420,
node/262721179,Mandalay,suburb,City of Cape Town,Western Cape,-34.014858,18.626161,
node/6515180533,Mandela Park (Makaya),suburb,City of Cape Town,Western Cape,-34.048652,18.683549,
node/262721220,Manenberg,suburb,City of Cape Town,Western Cape,-33.989722,18.554444,
node/6205166566,Mansfield Estate,neighbourhood,City of Cape Town,Western Cape,-34.155171,18.885185,
node/6205131788,Mansfield Industrial,neighbourhood,City of Cape Town,Western Cape,-34.151015,18.885882,
node/267044811,Marconi Beam,suburb,City of Cape Town,Western Cape,-33.872307,18.515669,
node/262721265,Marina Da Gama,suburb,City of Cape Town,Western Cape,-34.091088,18.477159,
node/6232860644,Martinville,neighbourhood,City of Cape Town,Western Cape,-34.084180,18.854596,
node/6206087305,Marvin Park,neighbourhood,City of Cape Town,Western Cape,-34.061504,18.776656,
node/2151372123,Masiphumelele,village,City of Cape Town,Western Cape,-34.129372,18.375791,Masiphumele
node/262721283,Matroosfontein,suburb,City of Cape Town,Western Cape,-33.940556,18.577778,
node/262721313,Meadowridge,suburb,City of Cape Town,Western Cape,-34.033333,18.451389,
node/262721316,Melkbosstrand,town,City of Cape Town,Western Cape,-33.722222,18.445833,
node/260310457,Metro Industrial Township,suburb,City of Cape Town,Western Cape,-33.897409,18.481349,
node/262721325,Mfuleni,suburb,City of Cape Town,Western Cape,-33.992279,18.676991,
node/262721380,Mikro Park,suburb,City of Cape Town,Western Cape,-33.933333,18.700000,
node/252200946,Milnerton,town,City of Cape Town,Western Cape,-33.879444,18.496389,
node/252201090,Milnerton Ridge,suburb,City of Cape Town,Western Cape,-33.853052,18.508990,
node/6206052340,Mission Grounds,neighbourhood,City of Cape Town,Western Cape,-34.121212,18.901604,
node/262721397,Mitchells Plain,town,City of Cape Town,Western Cape,-34.050556,18.618056,Mitchell's Plain;Mitchells Plein
node/267044813,Montague Gardens,suburb,City of Cape Town,Western Cape,-33.859750,18.522916,
node/12160342445,Montclair,suburb,City of Cape Town,Western Cape,-34.020716,18.626010,
node/262721470,Monte Vista,suburb,City of Cape Town,Western Cape,-33.879722,18.555000,
node/287334122,Montevideo,suburb,City of Cape Town,Western Cape,-33.965512,18.574971,
node/6515180536,Monwabisi,suburb,City of Cape Town,Western Cape,-34.067990,18.708049,
node/262721498,Morgenster,suburb,City of Cape Town,Western Cape,-33.869167,18.692500,
node/1568912408,Morgenster Hoogte,suburb,City of Cape Town,Western Cape,-33.863992,18.694321,
node/6205831491,Morkel's Cottage Informal Settlement,neighbourhood,City of Cape Town,Western Cape,-34.121297,18.843799,
node/4225192119,Morning Star,village,City of Cape Town,Western Cape,-33.752198,18.531169,
node/6223063125,Morningside,neighbourhood,City of Cape Town,Western Cape,-34.074784,18.879855,
node/260289640,Mouille Point,suburb,City of Cape Town,Western Cape,-33.900023,18.403884,
node/6205166573,Mountain View,neighbourhood,City of Cape Town,Western Cape,-34.154007,18.879552,
node/6205166565,Mountainside Estate,neighbourhood,City of Cape Town,Western Cape,-34.156964,18.876291,
node/242544629,Mountview,suburb,City of Cape Town,Western Cape,-33.985749,18.525522,
node/25685778,Mowbray,suburb,City of Cape Town,Western Cape,-33.948333,18.474167,
node/262721551,Muizenberg,suburb,City of Cape Town,Western Cape,-34.102778,18.465278,
node/6515297086,Mxolisi Phetani (Site C),suburb,City of Cape Town,Western Cape,-34.011567,18.645771,
node/6223063128,Nature's Valley,neighbourhood,City of Cape Town,Western Cape,-34.071567,18.880026,
node/6205131786,Nautilus Village,neighbourhood,City of Cape Town,Western Cape,-34.148769,18.883511,
node/25399553,Ndabeni,suburb,City of Cape Town,Western Cape,-33.928485,18.491624,
node/262721571,New Crossroads,suburb,City of Cape Town,Western Cape,-33.995556,18.582222,
